feature_config,hidden_size,seed,fp32_acc,int8_acc,delta_pp,params,macs
16_mels,32,1,95.8526,93.9321,1.9205,11532,1086336
16_mels,16,0,92.6242,92.0199,0.6043,3468,310464
16_mels,32,2,95.6788,95.3725,0.3063,11532,1086336
16_mels,32,0,95.7450,95.2980,0.4470,11532,1086336
16_mels,16,1,93.0381,92.5662,0.4719,3468,310464
16_mels,16,2,92.7980,91.8460,0.9520,3468,310464
16_mels,48,1,96.8212,96.4818,0.3394,24204,2327616
16_mels,64,0,97.2434,97.0613,0.1821,41484,4034304
16_mels,64,1,97.2103,97.0447,0.1656,41484,4034304
16_mels,48,0,96.8212,96.5066,0.3146,24204,2327616
16_mels,48,2,96.8046,96.6142,0.1904,24204,2327616
16_mels,64,2,97.1275,96.8212,0.3063,41484,4034304
16_mels_delta_delta,16,0,94.7517,94.4785,0.2732,5004,465600
16_mels_delta_delta,16,1,94.9752,94.6606,0.3146,5004,465600
16_mels_delta_delta,32,0,96.5646,96.4321,0.1325,14604,1396608
16_mels_delta_delta,16,2,94.8262,94.6192,0.2070,5004,465600
16_mels_delta_delta,32,1,96.3411,96.1507,0.1904,14604,1396608
16_mels_delta_delta,32,2,96.8046,96.7219,0.0828,14604,1396608
16_mels_delta_delta,48,2,97.1523,96.9785,0.1738,28812,2793024
16_mels_delta_delta,64,0,97.3675,97.2517,0.1159,47628,4654848
16_mels_delta_delta,48,1,97.0199,96.9371,0.0828,28812,2793024
16_mels_delta_delta,48,0,97.1689,97.2020,-0.0331,28812,2793024
16_mels_delta_delta,64,1,97.0530,97.0695,-0.0166,47628,4654848
16_mels_delta_delta,64,2,97.2930,97.1772,0.1159,47628,4654848
48_mels,32,0,96.4652,96.4238,0.0414,14604,1396608
48_mels,16,1,94.0480,93.6672,0.3808,5004,465600
48_mels,16,0,93.9156,93.6175,0.2980,5004,465600
48_mels,16,2,93.7334,93.4768,0.2566,5004,465600
48_mels,32,2,96.1921,96.0927,0.0993,14604,1396608
48_mels,32,1,96.1589,96.1672,-0.0083,14604,1396608
48_mels,48,1,95.2235,95.2649,-0.0414,28812,2793024
48_mels,48,0,96.7219,96.4818,0.2401,28812,2793024
48_mels,64,0,95.6291,95.6374,-0.0083,47628,4654848
48_mels,48,2,96.6142,96.5811,0.0331,28812,2793024
48_mels,64,1,95.4967,95.6623,-0.1656,47628,4654848
48_mels,64,2,95.2566,95.2318,0.0248,47628,4654848
