feature_config,hidden_size,seed,fp32_acc,int8_acc,delta_pp,params,macs
16_mels_delta_delta,16,2,94.8262,94.6192,0.2070,5004,465600
16_mels_delta_delta,64,2,97.2930,97.1772,0.1159,47628,4654848
16_mels_delta_delta,48,0,97.1689,97.2020,-0.0331,28812,2793024
16_mels_delta_delta,64,1,97.0530,97.0695,-0.0166,47628,4654848
16_mels_delta_delta,32,0,96.5646,96.4321,0.1325,14604,1396608
16_mels_delta_delta,32,2,96.8046,96.7219,0.0828,14604,1396608
16_mels_delta_delta,48,2,97.1523,96.9785,0.1738,28812,2793024
16_mels_delta_delta,16,0,94.7517,94.4785,0.2732,5004,465600
16_mels_delta_delta,16,1,94.9752,94.6606,0.3146,5004,465600
16_mels_delta_delta,48,1,97.0199,96.9371,0.0828,28812,2793024
16_mels_delta_delta,64,0,97.3675,97.2517,0.1159,47628,4654848
16_mels_delta_delta,32,1,96.3411,96.1507,0.1904,14604,1396608
